x,meanNoByzantine,upNoByzantine,lowNoByzantine
1891,12957760.38,17432871.48332125,8482649.276678752
1901,12224789.91,16852770.389791362,7596809.43020864
1911,11746632.22,16383039.185831081,7110225.254168921
1921,11727038.07,16360995.10550644,7093081.03449356
1931,10946009.86,15270074.59810821,6621945.121891788
1941,11453574.84,15800294.946162067,7106854.733837933
1951,11058607.45,15230366.111488324,6886848.788511676
1961,12253598.25,16867444.206595615,7639752.293404385
1971,12335804.45,17084876.548998237,7586732.351001761
1981,12974428.98,18353182.27772788,7595675.682272123
1991,12800686.71,18190541.734087363,7410831.685912638
2000,12046003.84,17479832.874720592,6612174.805279408
