x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
910,11178743.56,15347262.567218393,7010224.552781608,6337325.77,8915861.408521358,3758790.1314786403,12127003.59,17159763.84943026,7094243.330569739,11858541.79,17022412.04512748,6694671.534872516,10794654.44,14937996.07139735,6651312.808602649,10173125.42,13511855.587376185,6834395.252623816,5013938.95,6919099.668984225,3108778.231015775
920,11004810.99,15257454.447312377,6752167.532687622,6025081.31,8494304.436978878,3555858.1830211203,11562988.06,16318859.518932398,6807116.601067603,11400136.06,16109644.367835626,6690627.752164375,10676749.6,14881137.958648605,6472361.241351394,9932518.08,13223074.964059554,6641961.195940445,4819361.42,6647336.596845889,2991386.24315411
930,11378279.5,15702896.326750956,7053662.6732490435,6000735.87,8379091.318090929,3622380.4219090715,11446325.71,16153262.080944048,6739389.339055954,11602520.68,16179096.347281326,7025945.012718675,10859970.28,15094374.151429448,6625566.408570549,9589159.19,12790082.54731623,6388235.832683768,5073456.58,7008759.453997189,3138153.7060028114
940,11205286.37,15480475.883357037,6930096.856642961,6257415.31,8545711.64389769,3969118.9761023098,10918371.02,15482218.76958548,6354523.270414518,11454400.39,16027043.30924294,6881757.470757062,10568154.64,14836301.765486827,6300007.514513174,10554843.92,14281058.12003347,6828629.719966529,5524856.64,7599712.789967918,3450000.4900320815
950,10775124.84,14927549.066983696,6622700.613016304,6085218.24,8435681.171386313,3734755.3086136878,10732065.01,15382429.54536645,6081700.47463355,11051571.8,15521552.104516558,6581591.495483443,10208094.66,14440967.783609798,5975221.536390202,10162811.09,14123355.272212503,6202266.907787496,5500865.39,7725500.416002618,3276230.363997381
960,11005764.91,15186139.413370544,6825390.406629456,6846516.67,9353910.362166498,4339122.977833502,11137323.6,15858647.009156197,6416000.190843801,11449744.34,16004228.776877822,6895259.903122177,10396551.9,14459974.243529059,6333129.556470941,10593700.26,14302796.625635527,6884603.894364472,5860442.45,8182579.88890972,3538305.011090281
970,10509387.28,14331135.864200275,6687638.695799723,6586718.95,9052107.960920628,4121329.939079372,11438382.52,16205098.326264493,6671666.713735506,10845289.9,14976301.302048713,6714278.497951289,10164999.62,14091256.841546988,6238742.39845301,10246736.58,13731523.983597897,6761949.176402103,5524595.63,7733254.508150699,3315936.7518493016
980,10753149.15,14948284.836424626,6558013.463575375,5919851.24,7941703.55866586,3897998.92133414,10669269.19,15415479.199599903,5923059.180400097,11235490.63,16055741.781500496,6415239.478499506,10647636.3,14898065.431091432,6397207.16890857,9563511.05,13272573.70740851,5854448.392591492,4524304.75,6249714.780348919,2798894.719651081
990,11646837.51,16210810.80581697,7082864.214183029,6547295.97,8988444.422503501,4106147.5174964983,11065127.04,15607296.669986572,6522957.410013426,12610679.18,18146566.856335353,7074791.503664647,11179965.42,15578599.198174063,6781331.641825938,9437725.61,12906040.171072084,5969411.048927914,4934408.2,6816857.3243254665,3051959.0756745334
1000,11439395.42,16019460.15785858,6859330.6821414195,7540898.48,10492995.154467907,4588801.805532094,11345445.74,16171952.731780207,6518938.748219794,11882100.37,16675799.324052032,7088401.415947965,11633819.05,16144649.506436832,7122988.59356317,9342997.38,12667379.710107803,6018615.049892199,5644412.78,7968438.993331343,3320386.566668658
