x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
881,15002616.438,17550998.23565491,12454234.64034509,11725435.484,14005783.779646186,9445087.188353812,15002616.438,17550998.23565491,12454234.64034509,7332935.508,8800290.59863362,5865580.41736638
891,15295219.692,17887671.147424754,12702768.236575246,12099720.858,14340419.579419129,9859022.13658087,15295219.692,17887671.147424754,12702768.236575246,7722031.426,9313307.24259824,6130755.609401762
901,15604130.912,18148202.92579473,13060058.89820527,12547212.262,14808932.608216766,10285491.915783234,15604130.912,18148202.92579473,13060058.89820527,8285183.35,9978689.799422989,6591676.900577011
911,15606498.76,18149245.02945685,13063752.49054315,11988648.466,14151872.833472922,9825424.098527078,15606498.76,18149245.02945685,13063752.49054315,8181602.48,9804877.680564437,6558327.279435564
921,15640813.588,18247291.159440503,13034336.016559497,11727276.116,13872106.486803014,9582445.745196987,15640813.588,18247291.159440503,13034336.016559497,8183786.85,9951582.01468367,6415991.68531633
931,16343039.418,19164503.090069767,13521575.745930232,12247231.342,14508582.306120591,9985880.37787941,16343039.418,19164503.090069767,13521575.745930232,8323788.668,10120795.561292969,6526781.77470703
941,16425215.548,19278923.612069502,13571507.483930498,12519579.056,14816217.765876664,10222940.346123336,16425215.548,19278923.612069502,13571507.483930498,8244981.998,10060825.892807221,6429138.103192777
951,16360408.988,19184304.95921339,13536513.01678661,12528244.988,14801623.519755866,10254866.456244133,16360408.988,19184304.95921339,13536513.01678661,8292336.994,10092873.677245887,6491800.310754114
961,16435646.948,19256075.35462764,13615218.541372363,12541690.696,14760579.292775609,10322802.099224392,16435646.948,19256075.35462764,13615218.541372363,8594139.94,10406297.47070585,6781982.409294148
971,16318523.302,19066306.14215426,13570740.461845737,12707602.15,14951248.248548364,10463956.051451636,16318523.302,19066306.14215426,13570740.461845737,8868897.958,10685888.102729982,7051907.813270019
981,16087652.306,18784819.69078083,13390484.92121917,12426885.758,14635274.551297434,10218496.964702565,16087652.306,18784819.69078083,13390484.92121917,8779369.824,10568961.643179363,6989778.004820636
991,16231982.104,18927332.072339524,13536632.135660477,12578014.762,14781696.583314493,10374332.940685507,16231982.104,18927332.072339524,13536632.135660477,8657869.33,10417503.787339048,6898234.872660952
1001,16196314.57,18894136.742491003,13498492.397508997,12531915.73,14751394.712334508,10312436.747665493,16196314.57,18894136.742491003,13498492.397508997,8345259.116,10025366.579322178,6665151.652677823
1011,15872421.256,18501510.164768595,13243332.347231405,12360814.86,14510483.624873787,10211146.095126212,15872421.256,18501510.164768595,13243332.347231405,8280376.692,9923930.934862597,6636822.449137403
1021,16184228.156,18893690.388813645,13474765.923186354,12726499.332,15005766.310615215,10447232.353384785,16184228.156,18893690.388813645,13474765.923186354,8573893.266,10369144.581358928,6778641.950641073
1031,15977785.544,18687659.43253252,13267911.655467482,12551667.068,14812090.79165318,10291243.34434682,15977785.544,18687659.43253252,13267911.655467482,8451683.188,10242889.124222878,6660477.25177712
1041,16166577.95,18927412.627328962,13405743.272671036,12461846.128,14832120.66913028,10091571.58686972,16166577.95,18927412.627328962,13405743.272671036,8347805.702,10177718.179137968,6517893.224862032
1051,16349329.12,19157996.307774898,13540661.932225103,12287974.198,14618039.532809505,9957908.863190496,16349329.12,19157996.307774898,13540661.932225103,8747385.726,10601626.581316616,6893144.870683382
1061,16610804.58,19448408.717329692,13773200.442670308,12412581.426,14805052.073931161,10020110.77806884,16610804.58,19448408.717329692,13773200.442670308,9163427.896,11130823.595936336,7196032.196063665
