x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
79,5583009.97,8100207.033856186,3065812.9061438134,5780013.57,8312094.093493691,3247933.04650631,5661253.64,8194078.447305594,3128428.8326944057,5583009.97,8100207.033856186,3065812.9061438134,3781186.19,5554316.69054471,2008055.6894552906,4210080.04,6182232.4893535655,2237927.5906464346
80,5629654.01,8207241.115122722,3052066.9048772766,5865554.84,8563630.457732808,3167479.222267193,5770828.71,8381096.153303195,3160561.266696805,5629654.01,8207241.115122722,3052066.9048772766,4102512.02,6098259.305725356,2106764.7342746444,4576433.86,6787366.786883239,2365500.933116762
81,6015272.24,8633470.45620161,3397074.0237983908,6399978.39,9143816.647459002,3656140.1325409967,6137357.6,8778178.785962489,3496536.4140375117,6015272.24,8633470.45620161,3397074.0237983908,4288286.49,6299452.207101258,2277120.772898742,4914057.42,7158920.593674513,2669194.2463254873
82,6117461.17,8819398.411482608,3415523.9285173914,6296023.25,9131800.311350863,3460246.188649136,6210448.38,8962349.880521324,3458546.8794786762,6117461.17,8819398.411482608,3415523.9285173914,4358056.76,6544241.167845881,2171872.3521541185,5099599.06,7572712.3380935695,2626485.78190643
83,5533842.2,8038125.116569974,3029559.283430026,5840046.86,8520540.085861307,3159553.634138695,5668577.62,8273596.490346037,3063558.7496539634,5533842.2,8038125.116569974,3029559.283430026,4066391.24,5997931.832608396,2134850.647391604,4688598.84,6853434.726065631,2523762.9539343687
84,6238119.28,8922854.916491322,3553383.643508678,6352777.28,9157667.637366505,3547886.922633495,6370121.99,9141594.903501507,3598649.0764984926,6238119.28,8922854.916491322,3553383.643508678,4460405.0,6568451.720516454,2352358.279483545,5073381.71,7493945.52730511,2652817.8926948896
85,6144751.61,8943927.141694864,3345576.078305137,6272544.49,9276675.063442731,3268413.9165572687,6257020.95,9126969.485107947,3387072.414892054,6144751.61,8943927.141694864,3345576.078305137,4663195.5,7059714.972155837,2266676.0278441627,5149713.27,7705470.232567282,2593956.3074327162
86,6196161.08,8967237.084830958,3425085.0751690427,6212736.34,9160864.958959332,3264607.721040668,6260774.22,9075893.785879832,3445654.6541201686,6196161.08,8967237.084830958,3425085.0751690427,4617820.73,6853988.431580201,2381653.0284198006,5110949.58,7552586.959598942,2669312.200401059
87,6504590.86,9342548.44173013,3666633.27826987,6484249.47,9480354.784956563,3488144.1550434367,6597574.43,9500032.106838971,3695116.7531610285,6504590.86,9342548.44173013,3666633.27826987,4764959.47,7061171.069695577,2468747.8703044225,5142622.51,7588034.389111001,2697210.6308889985
88,6276686.16,8974135.240810903,3579237.079189098,6219105.76,9041286.664769914,3396924.8552300865,6391159.63,9203840.076949514,3578479.183050485,6276686.16,8974135.240810903,3579237.079189098,4596485.22,6731300.045824079,2461670.3941759206,4938463.83,7200656.98545053,2676270.6745494697
89,6643340.82,9405867.39540565,3880814.244594351,6522571.84,9392328.478622096,3652815.201377904,6797700.17,9697324.771458948,3898075.5685410514,6643340.82,9405867.39540565,3880814.244594351,4654952.86,6787618.280834125,2522287.4391658753,4955422.02,7193106.641297104,2717737.3987028953
90,6574792.87,9453982.37061711,3695603.369382889,6429111.02,9360874.763932591,3497347.2760674073,6674245.63,9645822.19193739,3702669.068062609,6574792.87,9453982.37061711,3695603.369382889,4656245.77,6941048.551049719,2371442.98895028,4963870.19,7408885.267624391,2518855.112375609
91,6809222.96,9812433.53588548,3806012.3841145216,6535100.36,9515450.943405014,3554749.7765949876,6880822.4,9934246.241403176,3827398.5585968257,6809222.96,9812433.53588548,3806012.3841145216,4531001.11,6713146.708244326,2348855.511755675,4867205.86,7166248.013889294,2568163.706110706
